#ProvID; Culture; Religion; TradeGoods; Citizens; Freedmen; Slaves; Tribesmen; Civilization; Barbarian; NameRef;AraRef
1,roman,roman_pantheon,cloth,21,15,,3,40,0,Roma,Latium
2,roman,roman_pantheon,wine,7,8,6,0,40,0,Tibur,Latium
3,roman,roman_pantheon,salt,8,8,3,0,40,0,Lavinium,Latium
4,roman,roman_pantheon,wood,8,8,5,0,40,0,Circeii,Latium
5,roman,roman_pantheon,cloth,8,8,6,0,40,0,Fundi,Latium
6,roman,roman_pantheon,wine,7,7,6,0,40,0,Capua,Campania
7,samnite,roman_pantheon,wood,3,6,3,2,30,0,Neapolis,Campania
8,samnite,roman_pantheon,cloth,3,4,3,1,30,0,Saticula,Campania
9,samnite,roman_pantheon,wine,3,5,3,1,30,0,Pompeii,Campania
10,samnite,roman_pantheon,olive,4,4,3,0,30,0,Irna,Lucania
11,lucanian,roman_pantheon,wood,2,3,5,2,40,0,Paestum,Lucania
12,lucanian,roman_pantheon,fish,1,3,4,3,40,0,Velia,Lucania
13,lucanian,roman_pantheon,wood,3,4,3,2,40,0,Blanda,Lucania
14,roman,roman_pantheon,hemp,6,6,4,2,40,0,Pyrgi,Etruria
15,roman,roman_pantheon,iron,5,6,3,1,40,0,Ostia,Latium
16,roman,roman_pantheon,wine,6,10,4,1,40,0,Veii,Latium
17,etruscan,roman_pantheon,iron,4,2,3,4,35,0,Tarchuna,Etruria
18,etruscan,roman_pantheon,olive,5,1,4,5,35,0,Nepete,Etruria
19,roman,roman_pantheon,horses,5,6,2,1,40,0,Carsioli,Latium
20,roman,roman_pantheon,iron,7,7,3,0,40,0,Cures,Latium
21,etruscan,roman_pantheon,olive,5,2,3,1,35,0,Vesnth,Etruria
22,etruscan,roman_pantheon,fish,5,1,3,2,35,0,Velcal,Etruria
23,samnite,roman_pantheon,fur,3,2,5,2,30,0,Nequinum,Etruria
24,roman,roman_pantheon,horses,3,4,3,1,40,0,Peltuinum,Aternum
25,roman,roman_pantheon,grain,5,5,4,2,40,0,Norba,Latium
26,roman,roman_pantheon,olive,7,6,5,2,40,0,Fregellae,Latium
27,roman,roman_pantheon,fur,4,4,2,0,40,0,Fucens,Aternum
28,samnite,roman_pantheon,wine,3,2,5,1,30,0,Corfinium,Aternum
29,samnite,roman_pantheon,salt,6,2,3,8,30,0,Histonium,Aternum
30,roman,roman_pantheon,wood,5,4,2,1,40,0,Aufidena,Aternum
31,roman,roman_pantheon,wood,7,7,5,0,40,0,Venafrum,Campania
32,samnite,roman_pantheon,cattle,2,2,3,2,30,0,Bovianum,Campania
33,samnite,roman_pantheon,wine,6,2,8,4,30,0,Corneliani,Campania
34,samnite,roman_pantheon,fur,4,2,3,2,30,0,Iuvanum,Aternum
35,samnite,roman_pantheon,olive,4,1,3,2,30,0,Buca,Aternum
36,messapian,roman_pantheon,wine,2,2,3,3,40,0,Teanum Apulum,Apulia
37,messapian,roman_pantheon,cattle,1,2,5,1,40,0,Luceria,Apulia
38,messapian,roman_pantheon,wine,3,2,3,4,40,0,Sipious,Apulia
39,messapian,roman_pantheon,hemp,4,2,5,1,40,0,Canusium,Apulia
40,samnite,roman_pantheon,hemp,5,2,6,0,30,0,Nola,Campania
